id,treatment,age,male,hhld_inc,white,republican,democrat,college,fb_min_wins_b,news_source_6_b,fb_activepassive
284,0,25,0,15,1,0,0,0,50,3,0.32885617
285,0,49,0,35,1,0,0,0,120,4,-1.1379588
286,0,23,0,15,1,0,0,1,120,4,1.4289674
287,1,37,0,112,1,0,0,1,30,1,1.4289674
288,0,57,1,25,1,0,0,1,60,2,0.32885617
289,1,28,1,67,1,0,0,1,120,3,1.0622636
290,0,36,1,200,0,0,1,1,45,4,1.0622636
291,1,19,1,67,0,0,0,0,120,4,1.4289674
292,1,32,1,45,0,0,0,1,120,3,0.32885617
293,1,26,1,67,1,0,1,1,20,1,0.69555992
294,1,19,1,55,1,0,0,0,60,3,1.4289674
295,0,30,0,35,1,0,0,1,35,3,0.32885617
296,0,32,0,15,0,0,1,0,80,4,0.32885617
297,0,45,0,138,1,0,0,1,60,4,0.32885617
298,0,28,0,88,1,0,1,1,120,2,1.0622636
299,0,26,0,25,1,0,0,0,90,5,-1.8713663
300,1,26,1,88,1,0,1,1,60,2,-0.40455133
301,0,19,0,35,1,1,0,0,60,3,-1.5046625
302,0,31,1,55,0,1,0,1,90,4,-1.1379588
303,0,19,1,15,0,0,0,0,120,4,-0.03784757
304,1,19,1,45,0,0,0,0,60,5,0.32885617
305,0,21,1,112,1,1,0,0,35,4,-1.8713663
306,1,23,0,25,1,0,1,1,120,4,-0.40455133
307,0,41,0,200,0,0,1,1,90,5,1.4289674
308,1,22,1,112,0,0,1,1,75,2,0.69555992
309,1,23,0,25,1,0,1,0,120,5,-1.1379588
310,1,21,0,138,0,0,0,0,120,5,1.4289674
311,0,19,0,112,1,0,0,0,45,3,0.69555992
312,1,35,0,15,1,0,1,0,60,4,-0.40455133
313,0,27,0,15,1,0,1,0,120,5,1.0622636
314,1,25,0,25,1,0,0,0,120,3,-0.40455133
315,1,30,1,35,1,0,0,1,75,3,0.32885617
316,1,20,0,15,0,0,1,0,120,3,-0.77125508
317,1,24,0,55,1,0,1,0,120,4,0.32885617
318,0,25,1,5,1,0,1,0,30,5,-0.40455133
319,0,29,1,55,1,0,1,1,30,3,1.0622636
320,1,23,1,138,0,0,1,1,20,2,1.4289674
321,0,27,1,88,1,0,1,1,30,2,1.0622636
322,0,47,1,112,1,1,0,0,60,2,0.32885617
323,0,23,0,112,1,0,0,0,120,4,0.69555992
324,0,34,0,67,1,0,0,1,100,5,0.69555992
325,1,45,0,67,1,0,1,0,30,3,-0.77125508
326,0,21,0,67,0,0,0,0,120,5,1.4289674
327,0,19,0,55,1,0,0,0,25,3,1.0622636
328,0,23,0,25,0,0,0,0,40,3,-0.40455133
329,1,22,0,15,0,0,0,0,120,4,-1.8713663
330,1,34,1,112,0,0,0,1,30,4,-1.5046625
331,1,28,1,35,1,0,0,1,120,4,-0.77125508
332,1,31,0,25,1,0,0,1,70,3,1.0622636
333,0,57,1,200,1,0,1,1,30,5,0.69555992
334,1,27,0,35,1,0,1,1,45,4,1.0622636
335,0,25,1,88,0,0,1,0,60,2,-2.23807
336,0,22,0,45,0,0,1,0,75,4,0.69555992
337,1,29,0,88,0,0,1,1,60,3,0.32885617
338,0,39,1,138,0,0,1,1,120,2,1.4289674
339,1,19,1,5,0,0,1,0,30,2,1.0622636
340,1,32,0,25,0,0,0,0,30,3,-0.77125508
341,0,46,0,200,1,0,0,0,120,4,-1.1379588
342,1,39,0,45,1,0,1,1,60,4,-0.03784757
343,0,20,1,138,1,0,1,0,30,3,1.0622636
344,0,26,0,67,1,0,0,0,75,3,-0.03784757
345,0,41,1,112,0,0,0,1,45,3,0.69555992
346,0,30,0,45,1,1,0,1,45,2,-0.03784757
347,1,29,0,67,1,1,0,1,30,3,0.69555992
348,1,26,0,45,1,0,1,1,30,2,1.0622636
349,1,26,1,112,0,0,0,1,60,4,-1.8713663
350,0,21,0,67,1,0,0,0,70,3,1.4289674
351,0,23,1,112,1,0,0,0,60,3,-1.8713663
352,1,25,1,55,1,0,0,0,120,3,0.32885617
353,0,48,0,88,0,0,1,0,120,4,-0.03784757
354,0,38,0,88,0,0,1,1,45,4,0.69555992
355,1,23,0,88,0,0,1,0,120,2,1.0622636
356,0,40,0,67,1,0,0,0,120,3,-1.8713663
357,0,27,0,25,1,0,0,1,30,2,1.4289674
358,1,25,1,45,1,0,0,1,30,4,1.0622636
359,0,21,1,138,0,0,1,0,90,2,1.4289674
360,0,27,0,67,1,0,0,0,120,3,0.69555992
361,1,33,0,55,1,1,0,1,50,4,0.69555992
362,0,47,0,45,1,0,1,0,120,5,-1.5046625
363,1,32,0,200,0,0,1,1,60,5,1.0622636
364,0,20,0,200,1,0,0,1,120,4,0.69555992
365,0,30,0,55,1,0,0,0,60,5,-1.5046625
366,0,53,0,35,1,1,0,0,45,4,-1.8713663
367,0,50,0,67,0,0,1,1,35,2,-0.77125508
368,1,43,0,112,1,0,0,0,60,4,-0.40455133
369,0,43,1,200,1,0,1,1,60,3,-0.77125508
370,1,48,0,67,1,0,0,0,60,2,0.32885617
371,0,27,0,35,1,0,1,0,120,4,0.32885617
372,0,38,1,55,1,0,1,1,120,4,0.32885617
373,1,54,0,200,1,0,1,0,60,2,1.0622636
374,0,66,1,67,1,0,0,1,60,3,0.32885617
375,1,24,1,200,0,0,0,0,90,3,0.69555992
376,0,27,0,55,1,0,0,1,120,4,1.4289674
377,1,19,1,200,0,0,1,0,80,4,0.69555992
378,0,25,1,88,1,0,0,1,90,3,1.0622636
379,0,23,1,67,1,0,0,1,120,5,1.4289674
380,0,34,0,200,1,0,0,0,45,3,1.4289674
381,1,56,0,112,1,0,0,1,120,5,-0.03784757
382,1,28,1,45,1,0,0,1,20,4,1.0622636
383,0,26,1,45,1,0,1,1,30,2,1.0622636
384,1,19,0,200,1,0,1,0,30,2,1.0622636
385,0,23,1,5,1,0,1,1,60,3,1.0622636
386,0,23,1,112,0,0,0,0,60,2,-0.03784757
387,0,64,0,45,1,0,1,1,30,1,1.0622636
388,1,56,1,67,1,0,1,0,120,3,-2.23807
389,0,32,0,25,0,0,1,1,20,4,-1.1379588
390,0,24,0,88,1,0,0,1,60,4,-0.40455133
391,0,21,0,45,0,0,1,0,90,2,1.4289674
392,0,43,0,25,1,0,1,0,60,3,1.4289674
393,1,45,0,67,1,1,0,1,60,3,-1.1379588
394,0,28,0,67,0,0,1,1,75,4,-0.03784757
395,1,30,1,88,0,0,0,1,120,3,-0.40455133
396,1,56,1,45,1,0,1,1,50,3,0.69555992
397,1,23,1,15,1,1,0,0,100,5,-0.40455133
398,0,29,0,15,0,0,0,1,120,5,-2.23807
399,0,39,1,67,1,0,0,0,120,3,-0.77125508
400,0,24,0,67,0,0,0,1,90,2,0.32885617
401,1,35,0,200,1,0,1,1,90,4,0.32885617
402,1,26,0,88,1,0,1,1,45,3,0.69555992
403,1,19,1,55,1,0,1,0,40,4,0.69555992
404,0,28,1,55,1,0,1,1,60,4,0.32885617
405,0,40,0,88,1,1,0,0,120,4,-1.1379588
406,0,33,0,67,0,0,0,1,120,5,0.32885617
407,1,24,1,200,1,0,1,1,45,2,1.0622636
408,1,23,0,35,1,0,0,1,30,2,0.69555992
409,0,29,0,35,0,0,1,0,40,4,0.32885617
410,0,37,0,55,0,0,0,0,60,3,0.69555992
411,0,23,1,15,1,0,0,0,30,4,1.0622636
412,0,27,0,88,1,0,1,1,20,5,1.4289674
413,0,40,0,35,1,0,1,1,120,3,-0.40455133
414,0,20,0,67,1,0,0,0,60,3,0.32885617
415,1,24,1,200,1,0,1,1,60,2,0.32885617
416,1,25,0,35,1,0,0,1,100,3,0.69555992
417,0,45,1,25,1,1,0,0,60,4,-0.40455133
418,0,27,0,88,1,0,1,1,45,4,0.32885617
419,1,54,0,55,0,1,0,1,120,2,0.32885617
420,0,36,1,45,1,0,0,0,120,4,-0.40455133
421,1,31,0,67,1,0,0,1,30,3,-0.03784757
422,0,37,0,112,1,0,0,1,60,4,-0.03784757
423,0,35,1,45,0,0,1,0,45,3,-0.03784757
424,1,21,0,45,1,1,0,1,70,3,0.32885617
425,0,48,0,88,1,0,1,1,60,4,-1.1379588
426,1,20,1,88,0,0,1,0,75,4,0.32885617
427,1,56,0,67,1,0,1,1,120,5,-0.40455133
428,1,20,0,67,0,0,0,0,30,1,1.4289674
429,0,21,0,15,1,0,0,0,50,3,-2.23807
430,0,20,0,200,0,0,0,0,90,4,0.69555992
431,0,69,1,88,1,0,1,1,45,2,0.32885617
432,0,29,0,88,1,0,1,1,30,5,1.0622636
433,1,37,0,67,1,0,0,0,90,3,0.69555992
434,1,19,1,138,1,0,0,0,30,2,1.4289674
435,0,21,0,112,0,0,0,0,60,3,-0.03784757
436,0,33,0,200,0,0,1,1,45,4,0.32885617
437,0,51,0,55,1,1,0,0,60,5,-0.40455133
438,0,31,0,200,1,0,0,0,30,4,1.0622636
439,0,29,1,15,1,0,0,0,60,4,-0.03784757
440,1,58,0,25,1,0,1,1,45,3,-0.03784757
441,0,68,1,88,1,1,0,0,20,1,1.4289674
442,0,24,0,138,0,0,1,1,25,3,1.4289674
443,1,31,1,88,0,1,0,1,60,2,0.32885617
444,0,27,0,45,1,1,0,0,90,3,-1.1379588
445,0,20,0,88,1,0,1,0,90,4,-1.5046625
446,0,54,1,25,0,0,1,0,50,4,1.0622636
447,0,48,1,67,0,0,1,0,120,4,0.32885617
448,0,28,0,112,1,0,1,0,90,3,-1.5046625
449,1,30,0,45,1,0,1,0,120,3,-1.1379588
450,0,26,0,88,0,0,0,0,120,5,-2.23807
451,0,65,0,200,1,0,0,1,120,3,0.69555992
452,0,24,0,45,0,0,0,1,120,4,0.32885617
453,1,27,0,25,0,0,0,0,60,4,1.4289674
454,0,20,0,200,0,0,0,0,60,3,0.69555992
455,0,20,0,67,0,0,1,0,120,2,0.32885617
456,0,32,0,112,1,0,0,0,120,3,0.69555992
457,0,46,0,88,1,1,0,1,20,3,0.69555992
458,1,20,0,200,0,0,0,0,120,5,-0.40455133
459,1,41,0,45,0,0,0,1,60,5,-0.03784757
460,0,21,0,200,0,0,1,0,60,3,1.0622636
461,0,24,1,25,0,0,1,0,120,4,0.69555992
462,0,43,1,67,0,0,0,1,45,2,1.0622636
463,0,22,0,45,0,0,1,0,30,3,1.4289674
464,0,24,1,45,1,0,1,1,45,3,0.32885617
465,0,27,0,25,0,0,1,0,120,4,-0.77125508
466,0,27,0,45,1,0,0,1,60,2,1.0622636
467,0,27,0,67,1,0,0,1,90,3,-0.03784757
468,0,25,0,67,1,0,0,1,90,3,-0.03784757
469,0,65,0,67,0,0,1,0,20,2,0.32885617
470,0,19,1,5,1,0,1,0,90,5,0.69555992
471,0,23,1,67,1,0,1,1,120,5,1.0622636
472,1,21,0,5,0,0,1,0,120,3,-0.03784757
473,0,52,0,15,1,0,1,1,120,5,-1.5046625
474,0,31,0,88,1,0,0,1,90,3,1.0622636
475,1,50,0,138,1,1,0,1,35,4,-1.5046625
476,1,33,1,35,1,0,0,0,120,5,0.69555992
477,1,42,1,88,1,0,0,0,30,4,0.32885617
478,1,29,0,25,1,1,0,1,45,3,1.0622636
479,0,26,1,35,1,0,0,0,120,4,-0.03784757
480,1,49,0,138,0,0,0,1,120,5,-2.23807
481,1,29,0,67,0,0,1,1,75,4,1.0622636
482,1,30,0,35,1,0,1,1,50,5,-1.1379588
